ts_mono_s,tb_new_bytes,tb_retx_bytes,num_new_tb,num_retx_tb
785783.950239,59669116,3422157,56769,3102
785783.950250,59669116,3422157,56769,3102
785783.950262,59669116,3422157,56769,3102
785783.950282,59669116,3422157,56769,3102
785783.950294,59669116,3422157,56769,3102
785783.950306,59669116,3422157,56769,3102
785783.950318,59669116,3422157,56769,3102
785783.950339,59669116,3422157,56769,3102
785783.950353,59669116,3422157,56769,3102
785783.950364,59669116,3422157,56769,3102
785783.950376,59669116,3422157,56769,3102
785783.950396,59669116,3422157,56769,3102
785783.950408,59669116,3422157,56769,3102
785783.950419,59669116,3422157,56769,3102
785783.950431,59669116,3422157,56769,3102
785783.950451,59669116,3422157,56769,3102
785783.950464,59669116,3422157,56769,3102
785783.950475,59669116,3422157,56769,3102
785783.950487,59669116,3422157,56769,3102
785783.950508,59669116,3422157,56769,3102
785783.950520,59669116,3422157,56769,3102
785783.950532,59669116,3422157,56769,3102
785783.950544,59669116,3422157,56769,3102
785783.950564,59669116,3422157,56769,3102
785783.950577,59669116,3422157,56769,3102
785783.950589,59669116,3422157,56769,3102
785783.950600,59669116,3422157,56769,3102
785783.950622,59669116,3422157,56769,3102
785783.950635,59669116,3422157,56769,3102
785783.950646,59669116,3422157,56769,3102
785783.950658,59669116,3422157,56769,3102
785783.950679,59669116,3422157,56769,3102
785783.950693,59669116,3422157,56769,3102
785783.950705,59669116,3422157,56769,3102
785783.950717,59669116,3422157,56769,3102
785783.950738,59669116,3422157,56769,3102
785783.950751,59669116,3422157,56769,3102
785783.950763,59669116,3422157,56769,3102
785783.950775,59669116,3422157,56769,3102
785783.950796,59669116,3422157,56769,3102
785783.950809,59669116,3422157,56769,3102
785783.950820,59669116,3422157,56769,3102
785783.950833,59669116,3422157,56769,3102
785783.950854,59669116,3422157,56769,3102
785783.950866,59669116,3422157,56769,3102
785783.950878,59669116,3422157,56769,3102
785783.950889,59669116,3422157,56769,3102
785783.950911,59669116,3422157,56769,3102
785783.950924,59669116,3422157,56769,3102
785783.950935,59669116,3422157,56769,3102
785783.950947,59669116,3422157,56769,3102
785783.950967,59669116,3422157,56769,3102
785783.950980,59669116,3422157,56769,3102
785783.950991,59669116,3422157,56769,3102
785783.951004,59669116,3422157,56769,3102
785783.951026,59669116,3422157,56769,3102
785783.951038,59669116,3422157,56769,3102
785783.951049,59669116,3422157,56769,3102
785783.951062,59669116,3422157,56769,3102
785783.951083,59669116,3422157,56769,3102
785783.951095,59669116,3422157,56769,3102
785783.951107,59669116,3422157,56769,3102
785783.951118,59669116,3422157,56769,3102
785783.951139,59669116,3422157,56769,3102
785783.951151,59669116,3422157,56769,3102
785783.951163,59669116,3422157,56769,3102
785783.951176,59669116,3422157,56769,3102
785783.951196,59669116,3422157,56769,3102
785783.951209,59669116,3422157,56769,3102
785783.951220,59669116,3422157,56769,3102
785783.951232,59669116,3422157,56769,3102
785783.951252,59669116,3422157,56769,3102
785783.951265,59669116,3422157,56769,3102
785783.951276,59669116,3422157,56769,3102
785783.951288,59669116,3422157,56769,3102
785783.951309,59669116,3422157,56769,3102
785783.951322,59669116,3422157,56769,3102
785783.951334,59669116,3422157,56769,3102
785783.951346,59669116,3422157,56769,3102
785783.951366,59669116,3422157,56769,3102
785783.951378,59669116,3422157,56769,3102
785783.951390,59669116,3422157,56769,3102
785783.951401,59669116,3422157,56769,3102
785783.951423,59669116,3422157,56769,3102
785783.951436,59669116,3422157,56769,3102
785783.951448,59669116,3422157,56769,3102
785783.951459,59669116,3422157,56769,3102
785783.951480,59669116,3422157,56769,3102
785783.951492,59669116,3422157,56769,3102
785783.951504,59669116,3422157,56769,3102
785783.951516,59669116,3422157,56769,3102
785783.951536,59669116,3422157,56769,3102
785783.951549,59669116,3422157,56769,3102
785783.951561,59669116,3422157,56769,3102
785783.951573,59669116,3422157,56769,3102
785783.951594,59669116,3422157,56769,3102
785783.951607,59669116,3422157,56769,3102
785783.951619,59669116,3422157,56769,3102
785783.951630,59669116,3422157,56769,3102
785783.951651,59669116,3422157,56769,3102
785783.951663,59669116,3422157,56769,3102
785783.951674,59669116,3422157,56769,3102
785783.951686,59669116,3422157,56769,3102
785783.951708,59669116,3422157,56769,3102
785783.951720,59669116,3422157,56769,3102
785783.951732,59669116,3422157,56769,3102
785783.951743,59669116,3422157,56769,3102
785783.951764,59669116,3422157,56769,3102
785783.951777,59669116,3422157,56769,3102
785783.951789,59669116,3422157,56769,3102
785783.951801,59669116,3422157,56769,3102
785783.951822,59669116,3422157,56769,3102
785783.951834,59669116,3422157,56769,3102
785783.951846,59669116,3422157,56769,3102
785783.951858,59669116,3422157,56769,3102
785783.951879,59669116,3422157,56769,3102
785783.951891,59669116,3422157,56769,3102
785783.951902,59669116,3422157,56769,3102
785783.951914,59669116,3422157,56769,3102
785783.951935,59669116,3422157,56769,3102
785783.951947,59669116,3422157,56769,3102
785783.951959,59669116,3422157,56769,3102
785783.951971,59669116,3422157,56769,3102
785783.951992,59669116,3422157,56769,3102
785783.952006,59669116,3422157,56769,3102
785783.952030,59669116,3422157,56769,3102
785783.952042,59669116,3422157,56769,3102
785783.952063,59669116,3422157,56769,3102
785783.952075,59669116,3422157,56769,3102
785783.952087,59669116,3422157,56769,3102
785783.952099,59669116,3422157,56769,3102
785783.952120,59669116,3422157,56769,3102
785783.952133,59669116,3422157,56769,3102
785783.952144,59669116,3422157,56769,3102
785783.952157,59669116,3422157,56769,3102
785783.952178,59669116,3422157,56769,3102
785783.952190,59669116,3422157,56769,3102
785783.952202,59669116,3422157,56769,3102
785783.952214,59669116,3422157,56769,3102
785783.952234,59669116,3422157,56769,3102
785783.952248,59669116,3422157,56769,3102
785783.952260,59669116,3422157,56769,3102
785783.952271,59669116,3422157,56769,3102
785783.952292,59669116,3422157,56769,3102
785783.952304,59669116,3422157,56769,3102
785783.952317,59669116,3422157,56769,3102
785783.952328,59669116,3422157,56769,3102
785783.952349,59669116,3422157,56769,3102
785783.952362,59669116,3422157,56769,3102
785783.952373,59669116,3422157,56769,3102
785783.952385,59669116,3422157,56769,3102
785783.952406,59669116,3422157,56769,3102
785783.952419,59669116,3422157,56769,3102
785783.952431,59669116,3422157,56769,3102
785783.952443,59669116,3422157,56769,3102
785783.952463,59669116,3422157,56769,3102
785783.952476,59669116,3422157,56769,3102
785783.952487,59669116,3422157,56769,3102
785783.952499,59669116,3422157,56769,3102
785783.952521,59669116,3422157,56769,3102
785783.952534,59669116,3422157,56769,3102
785783.952545,59669116,3422157,56769,3102
785783.952557,59669116,3422157,56769,3102
785783.952578,59669116,3422157,56769,3102
785783.952590,59669116,3422157,56769,3102
785783.952602,59669116,3422157,56769,3102
785783.952614,59669116,3422157,56769,3102
785783.952634,59669116,3422157,56769,3102
785783.952646,59669116,3422157,56769,3102
785783.952659,59669116,3422157,56769,3102
785783.952671,59669116,3422157,56769,3102
785783.952691,59669116,3422157,56769,3102
785783.952704,59669116,3422157,56769,3102
785783.952715,59669116,3422157,56769,3102
785783.952727,59669116,3422157,56769,3102
785783.952747,59669116,3422157,56769,3102
785783.952760,59669116,3422157,56769,3102
785783.952771,59669116,3422157,56769,3102
785783.952783,59669660,3422157,56770,3102
785783.952806,59669660,3422157,56770,3102
785783.952818,59669660,3422157,56770,3102
785783.952830,59669660,3422157,56770,3102
785783.952841,59669660,3422157,56770,3102
785783.952862,59669660,3422157,56770,3102
785783.952874,59669660,3422157,56770,3102
785783.952886,59669660,3422157,56770,3102
785783.952899,59669660,3422157,56770,3102
785783.952920,59669660,3422157,56770,3102
785783.952933,59669660,3422157,56770,3102
785783.952944,59669660,3422157,56770,3102
785783.952956,59669660,3422157,56770,3102
785783.952977,59669660,3422157,56770,3102
785783.952990,59669660,3422157,56770,3102
785783.953002,59669660,3422157,56770,3102
785783.953014,59669660,3422157,56770,3102
785783.953035,59669660,3422157,56770,3102
785783.953048,59669660,3422157,56770,3102
785783.953060,59669660,3422157,56770,3102
785783.953072,59669660,3422157,56770,3102
785783.953092,59669660,3422157,56770,3102
785783.953105,59669660,3422157,56770,3102
785783.953116,59669660,3422157,56770,3102
785783.953128,59669660,3422157,56770,3102
785783.953149,59669660,3422157,56770,3102
785783.953161,59669660,3422157,56770,3102
785783.953173,59669660,3422157,56770,3102
785783.953184,59669660,3422157,56770,3102
785783.953206,59669660,3422157,56770,3102
785783.953218,59669660,3422157,56770,3102
785783.953230,59669660,3422157,56770,3102
785783.953241,59669660,3422157,56770,3102
785783.953264,59669660,3422157,56770,3102
785783.953277,59669660,3422157,56770,3102
785783.953288,59669660,3422157,56770,3102
785783.953299,59669660,3422157,56770,3102
785783.953321,59669660,3422157,56770,3102
785783.953333,59669660,3422157,56770,3102
785783.953345,59669660,3422157,56770,3102
785783.953356,59669660,3422157,56770,3102
785783.953377,59669660,3422157,56770,3102
785783.953389,59669660,3422157,56770,3102
785783.953401,59669660,3422157,56770,3102
785783.953413,59669660,3422157,56770,3102
785783.953434,59669660,3422157,56770,3102
785783.953447,59669660,3422157,56770,3102
785783.953458,59669660,3422157,56770,3102
785783.953471,59669660,3422157,56770,3102
785783.953491,59669660,3422157,56770,3102
785783.953504,59669660,3422157,56770,3102
785783.953515,59669660,3422157,56770,3102
785783.953527,59669660,3422157,56770,3102
785783.953548,59669660,3422157,56770,3102
785783.953560,59669660,3422157,56770,3102
785783.953571,59669660,3422157,56770,3102
785783.953583,59669660,3422157,56770,3102
785783.953605,59669660,3422157,56770,3102
785783.953618,59669660,3422157,56770,3102
785783.953630,59669660,3422157,56770,3102
785783.953641,59669660,3422157,56770,3102
785783.953662,59669660,3422157,56770,3102
785783.953674,59669660,3422157,56770,3102
785783.953686,59669660,3422157,56770,3102
785783.953697,59669660,3422157,56770,3102
785783.953719,59669660,3422157,56770,3102
785783.953732,59669660,3422157,56770,3102
785783.953743,59669660,3422157,56770,3102
785783.953756,59669660,3422157,56770,3102
785783.953777,59669660,3422157,56770,3102
785783.953789,59669660,3422157,56770,3102
785783.953800,59669660,3422157,56770,3102
785783.953812,59669660,3422157,56770,3102
785783.953833,59669660,3422157,56770,3102
785783.953845,59669660,3422157,56770,3102
785783.953857,59669660,3422157,56770,3102
785783.953868,59669660,3422157,56770,3102
