epoch,tb_new_bytes,tb_retx_bytes,num_new_tb
1785579233.633909,60096389,3487661,57462
1785579233.638894,60098981,3487661,57465
1785579233.643916,60101130,3487661,57468
1785579233.648893,60103562,3487661,57471
1785579233.653896,60105631,3487661,57474
1785579233.658893,60108223,3487661,57477
1785579233.663904,60110356,3487661,57480
1785579233.668895,60112804,3487661,57483
1785579233.673918,60114873,3487661,57486
1785579233.678895,60117449,3487661,57489
1785579233.683908,60119598,3487661,57492
1785579233.688901,60122046,3487661,57495
1785579233.693897,60124099,3487661,57498
1785579233.698894,60126691,3487661,57501
1785579233.703911,60128840,3487661,57504
1785579233.708893,60131272,3487661,57507
1785579233.713909,60133341,3487661,57510
1785579233.718901,60135933,3487661,57513
1785579233.723903,60138066,3487661,57516
1785579233.728894,60140514,3487661,57519
1785579233.733903,60142583,3487661,57522
1785579233.738893,60145159,3487661,57525
1785579233.743904,60147308,3487661,57528
1785579233.748902,60149756,3487661,57531
1785579233.753910,60151809,3487661,57534
1785579233.758893,60154401,3487661,57537
1785579233.763907,60156550,3487661,57540
1785579233.768892,60158982,3487661,57543
1785579233.773896,60161051,3487661,57546
1785579233.778893,60163643,3487661,57549
1785579233.783907,60165792,3487661,57552
1785579233.788894,60168224,3487661,57555
1785579233.793907,60170293,3487661,57558
1785579233.798893,60172885,3487661,57561
1785579233.803905,60175018,3487661,57564
1785579233.808893,60177466,3487661,57567
1785579233.813896,60179535,3487661,57570
1785579233.818894,60182111,3487661,57573
1785579233.823898,60184260,3487661,57576
1785579233.828893,60186708,3487661,57579
1785579233.833909,60188761,3487661,57582
1785579233.838894,60191353,3487661,57585
1785579233.843909,60193502,3487661,57588
1785579233.848893,60195934,3487661,57591
1785579233.853896,60198003,3487661,57594
1785579233.858901,60200595,3487661,57597
1785579233.863900,60202728,3487661,57600
1785579233.868894,60205176,3487661,57603
1785579233.873916,60207245,3487661,57606
1785579233.878892,60209821,3487661,57609
1785579233.883907,60211970,3487661,57612
1785579233.888901,60214418,3487661,57615
1785579233.893895,60216471,3487661,57618
1785579233.898894,60219063,3487661,57621
1785579233.903909,60221212,3487661,57624
1785579233.908892,60223644,3487661,57627
1785579233.913908,60225713,3487661,57630
1785579233.918903,60228305,3487661,57633
1785579233.923898,60230438,3487661,57636
1785579233.928894,60232886,3487661,57639
1785579233.933903,60234955,3487661,57642
1785579233.938892,60237531,3487661,57645
1785579233.943901,60239680,3487661,57648
1785579233.948903,60242128,3487661,57651
1785579233.953909,60244181,3487661,57654
1785579233.958894,60246773,3487661,57657
1785579233.963907,60248922,3487661,57660
1785579233.968892,60251354,3487661,57663
1785579233.973895,60253423,3487661,57666
1785579233.978893,60256015,3487661,57669
1785579233.983907,60258479,3487661,57672
1785579233.988893,60260911,3487661,57675
1785579233.993907,60262980,3487661,57678
1785579233.998893,60265572,3487661,57681
1785579234.003898,60267705,3487661,57684
1785579234.008894,60270153,3487661,57687
1785579234.013895,60272222,3487661,57690
1785579234.018893,60274798,3487661,57693
1785579234.023900,60276947,3487661,57696
1785579234.028901,60279395,3487661,57699
1785579234.033908,60281448,3487661,57702
1785579234.038893,60284040,3487661,57705
1785579234.043906,60286504,3487661,57708
1785579234.048892,60288936,3487661,57711
1785579234.053894,60291005,3487661,57714
1785579234.058901,60293597,3487661,57717
1785579234.063899,60295730,3487661,57720
1785579234.068894,60298178,3487661,57723
1785579234.073917,60300247,3487661,57726
1785579234.078892,60302823,3487661,57729
1785579234.083905,60305287,3487661,57732
1785579234.088900,60307735,3487661,57735
1785579234.093895,60309788,3487661,57738
1785579234.098893,60312380,3487661,57741
1785579234.103905,60314529,3487661,57744
1785579234.108893,60316961,3487661,57747
1785579234.113908,60319030,3487661,57750
1785579234.118901,60321622,3487661,57753
1785579234.123901,60324054,3487661,57756
1785579234.128893,60326502,3487661,57759
1785579234.133903,60328870,3487661,57762
1785579234.138892,60331446,3487661,57765
1785579234.143900,60333910,3487661,57768
1785579234.148900,60336358,3487661,57771
1785579234.153909,60338411,3487661,57774
1785579234.158893,60341003,3487661,57777
1785579234.163908,60343467,3487661,57780
1785579234.168892,60345899,3487661,57783
1785579234.173894,60347968,3487661,57786
1785579234.178893,60350560,3487661,57789
1785579234.183906,60353024,3487661,57792
1785579234.188893,60355456,3487661,57795
1785579234.193907,60357525,3487661,57798
1785579234.198892,60360117,3487661,57801
1785579234.203903,60362549,3487661,57804
1785579234.208894,60364997,3487661,57807
1785579234.213894,60367365,3487661,57810
1785579234.218894,60369941,3487661,57813
1785579234.223899,60372405,3487661,57816
1785579234.228892,60374853,3487661,57819
1785579234.233907,60376906,3487661,57822
1785579234.238893,60379498,3487661,57825
1785579234.243898,60381962,3487661,57828
1785579234.248892,60384394,3487661,57831
1785579234.253895,60386463,3487661,57834
1785579234.258892,60389055,3487661,57837
1785579234.263900,60391487,3487661,57840
1785579234.268893,60393935,3487661,57843
1785579234.273908,60396303,3487661,57846
1785579234.278892,60398879,3487661,57849
1785579234.283907,60401311,3487661,57852
1785579234.288891,60403759,3487661,57855
1785579234.293895,60406095,3487661,57858
1785579234.298893,60408687,3487661,57861
1785579234.303899,60411151,3487661,57864
1785579234.308893,60413583,3487661,57867
1785579234.313907,60415951,3487661,57870
1785579234.318892,60418543,3487661,57873
1785579234.323901,60420975,3487661,57876
1785579234.328892,60423423,3487661,57879
1785579234.333895,60425791,3487661,57882
1785579234.338893,60428367,3487661,57885
1785579234.343900,60430831,3487661,57888
1785579234.348893,60433279,3487661,57891
1785579234.353910,60435615,3487661,57894
1785579234.358893,60438207,3487661,57897
1785579234.363899,60440671,3487661,57900
1785579234.368893,60443103,3487661,57903
1785579234.373895,60445471,3487661,57906
1785579234.378891,60448063,3487661,57909
1785579234.383906,60450495,3487661,57912
1785579234.388894,60452943,3487661,57915
1785579234.393909,60455311,3487661,57918
1785579234.398892,60457887,3487661,57921
1785579234.403899,60460351,3487661,57924
1785579234.408892,60462799,3487661,57927
1785579234.413894,60465135,3487661,57930
1785579234.418892,60467727,3487661,57933
1785579234.423898,60470191,3487661,57936
1785579234.428893,60472623,3487661,57939
1785579234.433907,60474991,3487661,57942
1785579234.438893,60477583,3487661,57945
1785579234.443901,60480337,3487661,57948
1785579234.448893,60482785,3487661,57951
1785579234.453896,60485153,3487661,57954
1785579234.458892,60487729,3487661,57957
1785579234.463898,60490193,3487661,57960
1785579234.468891,60492641,3487661,57963
1785579234.473911,60494977,3487661,57966
1785579234.478894,60497569,3487661,57969
1785579234.483908,60500033,3487661,57972
1785579234.488893,60502465,3487661,57975
1785579234.493895,60504833,3487661,57978
1785579234.498892,60507425,3487661,57981
1785579234.503899,60509857,3487661,57984
1785579234.508893,60512305,3487661,57987
1785579234.513908,60514673,3487661,57990
